expedition_id,meteorite_id,scientist_id,expedition_date,notes
1,44719,23717,1959-03-21,Field collection in forest
2,799,16419,2024-11-05,Deep cave exploration
3,20925,7113,1970-12-30,Desert dune survey
4,1607,13502,2018-01-13,Expedition in polar region
5,7150,24220,1933-10-05,Underwater exploration
6,46788,25410,1947-08-16,Deep cave exploration
7,11557,13217,1944-03-27,Underwater exploration
8,18832,31664,2017-04-10,Urban expedition
9,21312,19291,1923-06-13,Deep cave exploration
10,8850,33494,2009-04-08,High-altitude balloon collection
11,27999,25713,1947-03-19,Mountain peak sampling
12,15537,37315,2005-04-01,Remote island retrieval
13,12199,6859,1983-08-16,Tropical rainforest expedition
14,50397,14519,2008-02-10,Volcanic crater sampling
15,151,810,2013-10-25,Tropical rainforest expedition
16,28375,8680,1940-02-02,Underwater exploration
17,3525,6021,1970-11-25,Archaeological site investigation
18,20634,22540,1958-09-20,Desert dune survey
19,21354,23415,1928-09-15,Collected sample from desert
20,23195,1264,1963-03-24,Field collection in forest
21,34049,22847,1921-01-22,Collected sample from desert
22,56140,27915,2010-12-26,Meteor crater excavation
23,12854,9772,1978-03-08,Desert dune survey
24,20149,3662,1939-12-04,Urban expedition
25,25748,29315,2017-10-02,Ice shelf reconnaissance
26,54314,28930,2012-01-22,Tropical rainforest expedition
27,48366,33406,1950-05-02,Arid plateau mission
28,27241,25681,1911-06-25,Expedition in polar region
29,26636,22092,1973-11-16,Mountain peak sampling
30,11971,13104,1928-02-07,Desert dune survey
31,7170,17251,1976-10-24,Tropical rainforest expedition
32,49861,5890,1966-07-03,Meteor crater excavation
33,23645,15205,1913-06-06,High-altitude balloon collection
34,48036,31951,1953-01-04,Volcanic crater sampling
35,18423,16738,2000-09-21,Collected sample from desert
36,57187,35142,2002-05-02,Urban expedition
37,34505,16133,1967-07-01,Expedition in polar region
38,7833,3607,1969-12-24,Meteor crater excavation
39,20315,31872,1910-12-24,Urban expedition
40,28451,19105,1915-07-03,High-altitude balloon collection
41,7835,29921,1976-05-15,Desert dune survey
42,19016,18576,2008-04-04,Expedition in polar region
43,121,31456,1986-11-28,Tropical rainforest expedition
44,27333,26683,1969-09-17,Remote island retrieval
45,21539,17511,2015-07-09,Desert dune survey
46,3563,26173,1955-10-11,Mountain peak sampling
47,29540,3598,2017-07-17,Desert dune survey
48,20029,4174,1930-01-07,Deep cave exploration
49,53294,20201,1986-08-13,Volcanic crater sampling
50,39600,10436,1946-11-21,Archaeological site investigation
51,2187,4353,1918-01-25,High-altitude balloon collection
52,296,17247,1982-07-09,High-altitude balloon collection
53,23665,17574,1956-01-02,Remote island retrieval
54,54572,539,1933-04-20,Collected sample from desert
55,12422,2561,1906-01-17,Remote island retrieval
56,30087,21420,2024-02-25,Volcanic crater sampling
57,1684,20269,1938-04-15,Deep cave exploration
58,14092,873,1980-12-11,Mountain peak sampling
59,33588,31338,1999-09-26,Collected sample from desert
60,18938,425,1957-02-22,Tropical rainforest expedition
61,53203,37557,2018-08-01,Mountain peak sampling
62,10075,1982,1909-05-04,Volcanic crater sampling
63,13167,36057,2013-12-14,Archaeological site investigation
64,18013,13899,1940-02-28,High-altitude balloon collection
65,19252,10294,1973-06-28,Arid plateau mission
66,9351,7934,1977-08-08,Desert dune survey
67,57003,16818,2023-01-08,Meteor crater excavation
68,50664,23994,1994-07-08,Volcanic crater sampling
69,9533,4506,1993-05-04,Remote island retrieval
70,10949,34530,1969-03-29,High-altitude balloon collection
71,33918,17419,1926-08-07,Mountain peak sampling
72,24836,2989,1906-04-23,High-altitude balloon collection
73,23133,22562,1957-10-31,Glacial core drilling
