finding_id,meteorite_id,findings,discovery_year
1,1,Silicate rich,1880
2,2,Low volatile compounds,1951
3,4,Trace rare earth elements,1982
4,5,Presence of water-bearing minerals,1951
5,6,Iron-nickel alloy composition,1952
6,7,High chromium content,1941
7,8,Unique mineral structure,1840
8,9,Shock-metamorphosed structure,1997
9,10,Iron-nickel alloy composition,1976
10,11,Porous texture noted,1989
11,12,Abundant olivine crystals,1989
12,13,Anomalous silicon content,1989
13,14,Magnetic properties observed,1989
14,15,Elevated cobalt levels,1989
15,16,Iron-nickel alloy composition,1989
16,17,Porous texture noted,1989
17,18,Trace platinum group metals,1989
18,19,Carbonaceous composition,1989
19,20,High magnesium content,1989
20,21,Magnetic properties observed,1989
21,22,Anomalous oxygen isotope ratio,1989
22,23,Anomalous silicon content,1989
23,24,Elevated manganese levels,1989
24,25,High titanium concentration,1989
25,26,Significant sulfur levels,1989
26,27,Porous texture noted,1989
27,28,High magnesium content,1989
28,29,Magnetic properties observed,1989
29,30,Significant phosphorous levels,1989
30,31,Anomalous oxygen isotope ratio,1989
31,32,Elevated manganese levels,1989
32,33,Presence of organic compounds,1989
33,34,Crystalline texture observed,1989
34,35,Crystalline texture observed,1989
35,36,Shock-metamorphosed structure,1989
36,37,High iron content,1989
37,38,Trace rare earth elements,1989
38,39,High chromium content,1989
39,40,Porous texture noted,1989
40,41,Presence of organic compounds,1989
41,42,Exotic mineral inclusions,1989
42,43,Anomalous oxygen isotope ratio,1989
43,44,Anomalous oxygen isotope ratio,1989
44,45,Unusual chemical makeup,1989
45,46,Iron-nickel alloy composition,1989
46,47,Presence of water-bearing minerals,1989
47,48,Unusual chemical makeup,1989
48,49,Nickel traces found,1989
49,50,High metal content,1989
50,51,Iron-nickel alloy composition,1989
51,52,High magnesium content,1989
52,53,Significant phosphorous levels,1989
53,54,High chromium content,1989
54,56,Low density,1989
55,57,Unique mineral structure,1989
56,58,Presence of water-bearing minerals,1989
57,59,Elevated manganese levels,1989
58,60,Significant phosphorous levels,1989
59,61,Elevated cobalt levels,1989
60,62,Silicate rich,1989
61,63,Low density,1989
62,64,Low density,1989
63,65,Trace platinum group metals,1989
64,66,Presence of organic compounds,1989
65,67,High iron content,1989
66,68,Evidence of partial melting,1989
67,69,Rare isotopes detected,1989
68,70,Evidence of partial melting,1989
69,71,Low volatile compounds,1989
70,72,Unique mineral structure,1989
71,73,Abundant olivine crystals,1989
72,74,High iron content,1989
73,75,Low carbon content,1990
74,76,Evidence of partial melting,1990
75,77,Trace rare earth elements,1990
76,78,Unusual chemical makeup,1990
77,79,Carbonaceous composition,1990
78,80,High chromium content,1990
79,81,High metal content,1990
80,82,Trace rare earth elements,1990
81,83,Elevated cobalt levels,1990
82,84,High titanium concentration,1990
83,85,Trace rare earth elements,1990
84,86,Porous texture noted,1990
85,87,High chromium content,1990
86,88,Rare isotopes detected,1990
87,89,Abundant olivine crystals,1990
88,90,Porous texture noted,1990
89,91,High iron content,1990
90,92,Silicate rich,1990
91,93,Low carbon content,1990
92,94,Silicate rich,1990
93,95,Porous texture noted,1990
94,96,Unique mineral structure,1990
95,97,Significant sulfur levels,1990
96,98,Presence of organic compounds,1990
97,99,High chromium content,1990
98,100,High chromium content,1990
99,101,Presence of water-bearing minerals,1990
100,102,Elevated manganese levels,1990
101,103,Trace rare earth elements,1990
102,104,Crystalline texture observed,1990
103,105,Unusual chemical makeup,1990
104,106,Carbonaceous composition,1990
105,107,High titanium concentration,1990
106,108,Low carbon content,1990
107,109,Elevated cobalt levels,1990
108,110,Shock-metamorphosed structure,1990
109,111,Unique mineral structure,1990
110,112,High metal content,1990
111,113,Significant sulfur levels,1990
112,114,Anomalous oxygen isotope ratio,1990
113,115,Abundant olivine crystals,1990
114,116,Trace platinum group metals,1990
115,117,Elevated cobalt levels,1990
116,118,Low carbon content,1990
117,119,Low carbon content,1990
118,120,Presence of organic compounds,1990
119,121,Significant sulfur levels,1990
120,122,High chromium content,1990
121,123,Elevated manganese levels,1990
122,124,Evidence of partial melting,1990
123,125,Low volatile compounds,1990
124,126,High metal content,1990
125,127,Crystalline texture observed,1990
126,128,Unusual chemical makeup,1990
127,129,Elevated cobalt levels,1990
128,130,Abundant olivine crystals,1990
129,131,Nickel traces found,1990
130,132,Low volatile compounds,1990
131,133,High magnesium content,1990
132,134,Unusual chemical makeup,1990
133,135,Nickel traces found,1990
134,136,Unusual chemical makeup,1990
135,137,Evidence of partial melting,1990
136,138,Low carbon content,1990
137,139,High titanium concentration,1990
138,140,Low carbon content,1990
139,141,Crystalline texture observed,1990
140,142,Silicate rich,1990
141,143,Exotic mineral inclusions,1990
142,144,Unique mineral structure,1990
143,145,Silicate rich,1990
144,146,Presence of organic compounds,1990
145,147,Anomalous silicon content,1990
146,148,High titanium concentration,1990
147,149,Exotic mineral inclusions,1990
148,150,Anomalous silicon content,1990
149,151,High iron content,1990
150,152,Evidence of partial melting,1990
151,153,Anomalous oxygen isotope ratio,1990
152,154,Presence of organic compounds,1990
153,155,Elevated manganese levels,1990
154,156,Low carbon content,1990
155,157,Crystalline texture observed,1990
156,158,High magnesium content,1990
157,159,Low carbon content,1990
158,160,Evidence of partial melting,1990
159,161,Trace rare earth elements,1990
160,162,Low density,1990
161,163,Iron-nickel alloy composition,1990
162,164,Porous texture noted,1990
163,165,Low carbon content,1990
164,166,Magnetic properties observed,1990
165,167,Presence of water-bearing minerals,1990
166,168,High metal content,1990
167,169,Significant sulfur levels,1990
168,170,Presence of water-bearing minerals,1990
169,171,High metal content,1990
170,172,Nickel traces found,1990
171,173,Unusual chemical makeup,1990
172,174,Anomalous silicon content,1990
173,175,Shock-metamorphosed structure,1990
174,176,High iron content,1990
175,177,Porous texture noted,1990
176,178,Low volatile compounds,1990
177,179,Significant phosphorous levels,1990
178,180,Magnetic properties observed,1990
179,181,High chromium content,1990
180,182,Trace platinum group metals,1990
181,183,Exotic mineral inclusions,1990
182,184,Rare isotopes detected,1990
183,185,Unique mineral structure,1990
184,186,Anomalous oxygen isotope ratio,1990
185,187,Presence of water-bearing minerals,1990
186,188,Crystalline texture observed,1990
187,189,Trace rare earth elements,1990
188,190,Trace rare earth elements,1990
189,191,Magnetic properties observed,1990
190,192,Low volatile compounds,1990
191,193,High titanium concentration,1990
192,194,Shock-metamorphosed structure,1990
193,195,Nickel traces found,1990
194,196,Exotic mineral inclusions,1990
195,197,Evidence of partial melting,1990
196,198,Porous texture noted,1990
197,199,Trace rare earth elements,1990
198,200,Trace rare earth elements,1990
199,201,Elevated cobalt levels,1990
200,202,Evidence of partial melting,1991
201,203,Rare isotopes detected,1991
202,204,Shock-metamorphosed structure,1991
203,205,Anomalous silicon content,1991
204,206,High metal content,1991
205,207,High chromium content,1991
206,208,Unusual chemical makeup,1991
207,209,Anomalous silicon content,1991
208,210,Crystalline texture observed,1991
209,211,Shock-metamorphosed structure,1991
210,212,Anomalous silicon content,1991
211,213,Shock-metamorphosed structure,1991
212,214,Elevated manganese levels,1991
213,215,Unique mineral structure,1991
214,216,Silicate rich,1991
215,217,Trace platinum group metals,1991
216,218,Carbonaceous composition,1991
