funding_id,scientist_id,amount,sponsor,year
1,3531,175476,CNSA,1960
2,37053,305660,Raytheon,1967
3,8877,377434,Momentus,2024
4,65,153250,Axiom Space,1996
5,33223,107847,Eutelsat,1930
6,23511,310861,MDA,1990
7,19703,284762,Interstellar,1997
8,2684,247397,Exos Aerospace,1941
9,36064,148904,L3Harris,1936
10,38114,430733,Orbcomm,1903
11,22512,125558,Kepler Communications,1963
12,24104,414033,Zero 2 Infinity,1975
13,28446,485010,Xplore,1925
14,236,373967,Blue Canyon Technologies,1957
15,28151,225732,Cobham,1955
16,18910,181414,Vector Launch,2021
17,34690,236331,Roscosmos,1965
18,21047,368530,Paragon Space Development Corporation,1941
19,37771,251312,Planet Labs,1998
20,4956,117841,Boeing Defense,1943
21,36380,472219,Sierra Nevada Corporation,1908
22,11565,465014,Exos Aerospace,1936
23,21123,363535,Society of Exploration Geophysicists,1944
24,17717,256570,NSF,1920
25,34240,118402,Space Systems Loral,1935
26,30176,209074,GomSpace,1912
27,27020,162780,Boeing Defense,1969
28,35362,138295,SES,1980
29,29320,235796,Private,1992
30,27125,287347,Space Adventures,1948
31,35632,345952,Roscosmos,1990
32,9131,167862,Aerospace Corporation,1942
33,13994,452211,Roscosmos,2006
34,2378,416019,Globalstar,1995
35,7706,472974,Harris Corporation,1985
36,20548,167450,General Dynamics,1945
37,11639,298001,Spire Global,1991
38,13384,499918,PLD Space,1966
39,25893,225714,Hughes,1946
40,18184,444469,Made In Space,1922
41,8910,356150,CNES,2021
42,14442,272304,Cubic Corporation,1953
43,736,292023,Ball Aerospace,1968
44,8295,473467,Society of Exploration Geophysicists,1913
45,25589,277118,Exos Aerospace,1939
46,758,173414,ITAR Solutions,1939
47,18928,457388,Ball Aerospace,1919
48,26455,497801,Space Systems Loral,2003
49,36303,278361,Vector Launch,1975
50,1924,246320,Planet Labs,2003
51,29838,241523,ASI,1960
52,4303,243994,ISRO,2000
53,33717,112573,Planet Labs,1904
54,22019,226413,Iridium,2010
55,11567,352499,Inmarsat,2020
56,37978,224528,Planet Labs,1956
57,8260,239982,Space Generation Advisory Council,1903
58,8032,137809,Arianespace,1999
59,21202,313248,Arianespace,2018
60,8618,449913,Made In Space,1958
61,26289,464264,Astrocast,1944
62,28749,273454,ISRO,1947
63,2274,365942,Bigelow Aerospace,1937
64,17782,449441,SpaceIL,1920
65,28096,213777,NSF,2021
66,686,108452,Lockheed Martin,2013
67,4124,386058,Kepler Communications,1935
68,1285,308321,SpaceIL,2007
69,11027,275422,Swarm Technologies,1939
70,9417,490909,ExPace,1916
71,13707,334792,ASI,1951
72,9388,354104,Axiom Space,1928
73,1567,171674,Quantum Space,2014
74,13033,323686,Swarm Technologies,1933
75,32100,358055,Axiom Space,1928
76,22519,460323,Inmarsat,1945
77,120,470921,Lockheed Martin Space,1900
78,2833,397032,Boeing,1904
79,421,263240,Lockheed Martin Space,2021
80,34416,492682,JAXA,1989
81,35761,366003,Dynetics,1955
82,878,181840,Space Foundation,1955
83,34135,326559,Rocket Lab,1928
84,18329,267357,AeroVironment,1953
85,24317,429742,Telesat,1901
86,35126,427461,Diehl Aerospace,1974
87,7540,460984,Sierra Nevada Corporation,2012
88,4221,297876,Tyvak Nano-Satellite Systems,1952
89,34161,378009,Orbit Fab,1930
90,4078,286521,L3Harris,1900
91,12421,158578,Firefly Aerospace,1962
92,10745,449502,Planetary Resources,1978
93,28446,477764,Tyvak Nano-Satellite Systems,1965
94,33080,383363,Zero Gravity Solutions,2024
95,30647,225725,Quantum Space,1968
96,12147,295080,Momentus,1966
97,14581,474698,NASA,1996
98,33174,333144,SpacePharma,2008
99,27900,302073,Arianespace,1989
100,10812,187731,Aerojet Rocketdyne,2017
101,18772,102322,Hughes,1903
102,30545,433572,L3Harris,1961
103,35447,226736,Northrop Grumman,2017
104,21928,331688,Space Foundation,1993
105,29892,410018,Raytheon,1954
106,5978,458648,Relativity,1916
107,10215,392632,University,1906
108,13780,252481,Space Foundation,1977
109,25280,434123,CNSA,1915
110,16728,405921,Momentus,1943
111,16770,498340,The Planetary Society,1956
112,19506,286430,Bigelow Aerospace,1955
113,23350,204165,Vulcan Inc.,1999
114,15691,467018,Zero 2 Infinity,2024
115,37813,359387,Effective Innovations,1924
116,29921,231020,AeroVironment,1935
117,14856,201500,Maxar Technologies,1989
118,21743,381134,Astrocast,2002
119,6773,254281,Rocket Crafters,1993
120,16736,301893,PLD Space,1926
121,24919,298808,Paragon Space Development Corporation,1937
122,33831,466433,KARI,1951
123,4900,464731,Boeing,1931
124,12064,463971,Paragon Space Development Corporation,1953
125,28600,201699,Boeing,1912
126,1044,467760,Intelsat,1951
127,31949,210792,ASI,1939
128,4510,154105,General Dynamics,1979
129,10653,280172,Effective Innovations,1908
130,23073,299016,SpaceIL,1930
131,5542,132929,Raytheon,2008
132,29691,384635,ASI,1960
133,24882,378591,OHB System,1946
134,22741,429294,Aerojet Rocketdyne,1977
135,32075,162276,Airbus,1958
136,4033,474642,Ball Aerospace,1986
137,34372,497376,Zero Gravity Solutions,1918
138,6130,207365,Orbcomm,1900
139,32071,335072,Diehl Aerospace,1936
140,32185,434329,ITAR Solutions,1909
141,26303,464237,Swarm Technologies,1942
142,9454,452596,ASI,1985
143,21232,490423,Space Adventures,1938
144,26511,428346,Harris Corporation,1964
145,17258,473620,ExPace,1942
146,35478,120565,Dynetics,1992
147,20075,291408,Space Generation Advisory Council,2022
148,16304,367437,The Planetary Society,1900
149,21652,179894,SpaceIL,2015
150,25239,430599,L3Harris,2022
151,2889,118482,JAXA,2017
152,35887,310101,AeroVironment,1998
153,22891,326364,Private,1926
154,36597,348089,Exos Aerospace,1924
155,26374,301664,Xplore,1912
156,27351,368140,Cobham,1988
157,22608,380759,Harris Corporation,1946
158,7985,357922,Firefly Rocket Technologies,1998
159,35473,393347,Space Foundation,2003
