institution_id,institution_name,institution_country
1,National Institute of Astronomy,India
2,College of Planetary Science,Canada
3,National Institute of Geochemistry,Germany
4,International Lab for Astronomy,USA
5,National Institute of Planetary Science,China
6,University of Geochemistry,Japan
7,International Lab for Planetary Science,Denmark
8,Academy of Astronomy,Australia
9,International Lab for Space Exploration,India
10,Global Research Center of Planetary Science,Spain
11,National Institute of Geoscience,Sweden
12,National Institute of Space Exploration,Italy
13,Academy of Astronomy,Denmark
14,National Institute of Astrophysics,Germany
15,Academy of Space Exploration,Switzerland
16,College of Geoscience,UK
17,College of Cosmic Research,Germany
18,College of Geoscience,Sweden
19,Academy of Geology,Italy
20,Global Research Center of Space Exploration,Italy
21,College of Cosmic Research,Germany
22,Global Research Center of Geochemistry,China
23,Global Research Center of Geology,Sweden
24,Academy of Geochemistry,China
25,Royal Institute of Astronomy,China
26,University of Space Exploration,Sweden
27,Academy of Geoscience,Japan
28,Royal Institute of Planetary Science,Finland
29,International Lab for Geology,Canada
30,Academy of Meteorite Studies,China
31,Academy of Astrophysics,Switzerland
32,International Lab for Space Exploration,China
33,Global Research Center of Geochemistry,Finland
34,National Institute of Astronomy,France
35,Global Research Center of Meteorite Studies,Norway
36,National Institute of Astrophysics,Sweden
37,Center for Advanced Geochemistry,India
38,University of Geoscience,Belgium
39,Academy of Space Exploration,France
40,Academy of Astrophysics,Australia
41,Center for Advanced Astronomy,India
42,Global Research Center of Geochemistry,France
43,Academy of Geochemistry,Austria
44,College of Meteorite Studies,Italy
45,Global Research Center of Geochemistry,Netherlands
46,University of Space Exploration,Finland
47,University of Geoscience,Italy
48,Academy of Planetary Science,UK
49,College of Geoscience,Germany
50,Center for Advanced Geoscience,Belgium
51,Global Research Center of Meteorite Studies,Finland
52,Global Research Center of Cosmic Research,Netherlands
53,International Lab for Planetary Science,Belgium
54,College of Cosmic Research,Sweden
55,Royal Institute of Geology,Netherlands
56,Center for Advanced Geoscience,China
57,College of Geoscience,Spain
58,University of Geochemistry,China
59,College of Astronomy,Germany
60,University of Planetary Science,Germany
61,University of Space Exploration,Germany
62,College of Cosmic Research,Finland
63,College of Geochemistry,Canada
64,Center for Advanced Planetary Science,Finland
65,International Lab for Planetary Science,France
66,National Institute of Astrophysics,Italy
67,International Lab for Astrophysics,Denmark
68,University of Geoscience,UK
69,International Lab for Space Exploration,France
70,College of Planetary Science,Japan
71,Center for Advanced Meteorite Studies,Norway
72,Global Research Center of Cosmic Research,Denmark
73,College of Geoscience,Denmark
74,National Institute of Astronomy,Belgium
75,University of Geoscience,China
76,Global Research Center of Astrophysics,Finland
77,Center for Advanced Planetary Science,Sweden
78,University of Meteorite Studies,Sweden
79,University of Astrophysics,India
80,Center for Advanced Cosmic Research,Norway
81,Center for Advanced Meteorite Studies,Japan
82,Academy of Planetary Science,UK
83,University of Space Exploration,UK
84,University of Geology,Netherlands
85,Global Research Center of Astronomy,Netherlands
86,National Institute of Meteorite Studies,Germany
87,National Institute of Planetary Science,Sweden
88,National Institute of Planetary Science,Switzerland
89,University of Geoscience,Norway
90,Royal Institute of Cosmic Research,Japan
91,Royal Institute of Planetary Science,India
92,International Lab for Meteorite Studies,Brazil
93,Center for Advanced Space Exploration,Germany
94,University of Geology,Austria
95,National Institute of Geoscience,Belgium
96,College of Geochemistry,India
97,Global Research Center of Space Exploration,Germany
98,College of Space Exploration,Brazil
99,Global Research Center of Geology,Belgium
100,Academy of Geochemistry,USA
101,Academy of Geoscience,Canada
102,Academy of Geoscience,France
103,Global Research Center of Cosmic Research,Brazil
104,College of Space Exploration,Japan
105,Academy of Geochemistry,Finland
106,Academy of Astronomy,Germany
107,International Lab for Cosmic Research,UK
108,University of Space Exploration,Canada
109,Academy of Meteorite Studies,Denmark
110,International Lab for Geochemistry,USA
111,National Institute of Geoscience,Canada
112,University of Space Exploration,Switzerland
113,Global Research Center of Astrophysics,Canada
114,University of Cosmic Research,Italy
115,University of Space Exploration,Japan
116,College of Geoscience,Italy
117,International Lab for Meteorite Studies,China
118,Global Research Center of Meteorite Studies,Norway
119,University of Meteorite Studies,Spain
120,International Lab for Planetary Science,India
121,Global Research Center of Geoscience,Sweden
122,University of Geology,China
123,College of Geology,Italy
124,Academy of Planetary Science,China
125,University of Planetary Science,Sweden
126,Royal Institute of Cosmic Research,Germany
127,Academy of Space Exploration,Netherlands
128,International Lab for Geochemistry,Spain
129,University of Geoscience,India
130,Global Research Center of Cosmic Research,UK
131,National Institute of Astrophysics,Italy
132,Royal Institute of Astrophysics,Austria
133,National Institute of Astrophysics,Switzerland
134,College of Cosmic Research,UK
135,International Lab for Astronomy,Netherlands
136,College of Space Exploration,Norway
137,National Institute of Space Exploration,Austria
138,Royal Institute of Geoscience,Brazil
139,Academy of Astrophysics,Spain
140,International Lab for Cosmic Research,Belgium
141,Global Research Center of Planetary Science,Norway
142,International Lab for Meteorite Studies,Austria
143,Academy of Astrophysics,Belgium
144,University of Cosmic Research,Brazil
145,College of Astrophysics,Switzerland
146,Royal Institute of Geology,Denmark
147,Center for Advanced Planetary Science,Netherlands
148,Center for Advanced Meteorite Studies,Germany
149,Academy of Geochemistry,Austria
150,Royal Institute of Geoscience,China
151,Academy of Planetary Science,Japan
152,Global Research Center of Astronomy,UK
153,College of Geology,Austria
154,National Institute of Geology,Norway
155,College of Astrophysics,Finland
156,International Lab for Planetary Science,Canada
157,University of Geoscience,Norway
158,College of Meteorite Studies,Netherlands
159,Center for Advanced Astronomy,Belgium
160,College of Geoscience,Denmark
161,Global Research Center of Geology,Netherlands
162,Royal Institute of Geology,Austria
163,International Lab for Geochemistry,Denmark
164,Global Research Center of Geology,Denmark
165,Academy of Planetary Science,India
166,Center for Advanced Planetary Science,India
167,Center for Advanced Geoscience,Brazil
168,College of Cosmic Research,Spain
169,Royal Institute of Geochemistry,Germany
170,Global Research Center of Meteorite Studies,China
171,International Lab for Meteorite Studies,Japan
172,National Institute of Astrophysics,Norway
173,Royal Institute of Geochemistry,Denmark
174,International Lab for Astronomy,Japan
175,International Lab for Astrophysics,Switzerland
176,University of Astrophysics,Finland
177,University of Space Exploration,Brazil
178,International Lab for Astrophysics,Belgium
179,College of Geology,China
180,Academy of Astrophysics,Finland
181,University of Astrophysics,Spain
182,International Lab for Meteorite Studies,Denmark
183,Global Research Center of Geochemistry,USA
184,International Lab for Astronomy,Germany
185,International Lab for Meteorite Studies,Denmark
186,Global Research Center of Astronomy,India
187,International Lab for Space Exploration,Japan
188,Center for Advanced Space Exploration,Spain
189,International Lab for Cosmic Research,Norway
190,Academy of Geoscience,Finland
191,University of Geochemistry,UK
192,Royal Institute of Planetary Science,Germany
193,University of Astronomy,China
194,College of Astronomy,Austria
195,Global Research Center of Planetary Science,Canada
196,Center for Advanced Geoscience,Switzerland
197,College of Geology,India
198,Royal Institute of Meteorite Studies,Austria
199,National Institute of Meteorite Studies,Brazil
200,National Institute of Astronomy,Brazil
201,International Lab for Astrophysics,Japan
202,National Institute of Planetary Science,France
203,Academy of Geoscience,Switzerland
204,University of Space Exploration,Belgium
205,International Lab for Space Exploration,Germany
206,Royal Institute of Astronomy,Norway
207,Center for Advanced Geoscience,Norway
208,Royal Institute of Geology,Canada
209,International Lab for Meteorite Studies,Netherlands
210,Academy of Geochemistry,Finland
211,Center for Advanced Astrophysics,Switzerland
212,Academy of Space Exploration,China
213,National Institute of Cosmic Research,Denmark
214,College of Geology,Switzerland
215,International Lab for Space Exploration,USA
216,Center for Advanced Space Exploration,Australia
217,Center for Advanced Planetary Science,Italy
218,Academy of Space Exploration,India
219,Academy of Geochemistry,USA
220,College of Geoscience,China
221,International Lab for Geology,Belgium
222,College of Geology,Finland
223,Center for Advanced Astronomy,Germany
224,Academy of Planetary Science,Sweden
225,College of Cosmic Research,Switzerland
226,Royal Institute of Geology,Belgium
227,Royal Institute of Astrophysics,Belgium
228,Royal Institute of Space Exploration,Denmark
229,Academy of Cosmic Research,India
230,College of Geoscience,Japan
231,Royal Institute of Geoscience,Belgium
232,Global Research Center of Planetary Science,Japan
233,Center for Advanced Cosmic Research,Switzerland
234,Academy of Geoscience,Japan
235,Academy of Planetary Science,Italy
236,Global Research Center of Cosmic Research,USA
237,Global Research Center of Cosmic Research,UK
238,University of Geochemistry,Brazil
239,Global Research Center of Geology,France
240,University of Cosmic Research,Finland
241,Center for Advanced Geology,Spain
242,Global Research Center of Astronomy,India
243,Center for Advanced Geoscience,Germany
244,International Lab for Geology,Germany
245,University of Meteorite Studies,Canada
246,Academy of Geoscience,China
247,National Institute of Geochemistry,Norway
248,College of Geochemistry,Sweden
249,Center for Advanced Geology,Brazil
250,International Lab for Cosmic Research,Switzerland
251,University of Geoscience,Japan
252,College of Cosmic Research,Germany
253,Global Research Center of Planetary Science,Australia
254,National Institute of Meteorite Studies,USA
255,International Lab for Geology,Austria
256,Center for Advanced Cosmic Research,UK
257,College of Cosmic Research,Brazil
258,Center for Advanced Geoscience,China
259,Academy of Planetary Science,Norway
260,National Institute of Geochemistry,China
261,Global Research Center of Cosmic Research,Canada
262,National Institute of Astronomy,Australia
263,Academy of Cosmic Research,Denmark
264,National Institute of Geology,Brazil
265,International Lab for Cosmic Research,Netherlands
266,Center for Advanced Geology,Germany
267,University of Astrophysics,Spain
268,Academy of Astronomy,Germany
269,College of Astronomy,India
270,University of Meteorite Studies,Finland
271,Center for Advanced Cosmic Research,Australia
272,International Lab for Geology,Germany
273,Center for Advanced Space Exploration,Norway
274,Royal Institute of Space Exploration,France
275,Global Research Center of Space Exploration,Norway
276,Center for Advanced Cosmic Research,Sweden
277,University of Geology,Germany
278,Royal Institute of Cosmic Research,Spain
279,National Institute of Astrophysics,Netherlands
280,University of Geochemistry,Denmark
281,International Lab for Astronomy,Japan
282,Royal Institute of Geology,Denmark
283,University of Planetary Science,India
284,Global Research Center of Cosmic Research,Denmark
285,Center for Advanced Geoscience,USA
286,College of Meteorite Studies,Brazil
287,University of Geochemistry,Norway
288,National Institute of Planetary Science,France
289,Center for Advanced Geoscience,Canada
290,Center for Advanced Cosmic Research,Netherlands
291,Academy of Astrophysics,Finland
292,Center for Advanced Planetary Science,Denmark
293,Global Research Center of Astrophysics,Japan
294,Global Research Center of Geoscience,India
295,International Lab for Space Exploration,Netherlands
296,Academy of Astronomy,Brazil
297,Academy of Geology,Canada
298,Center for Advanced Geochemistry,Finland
299,Royal Institute of Space Exploration,Belgium
300,International Lab for Geology,Spain
301,College of Planetary Science,Switzerland
302,International Lab for Planetary Science,Norway
303,University of Space Exploration,Finland
304,International Lab for Astrophysics,Canada
305,Center for Advanced Astronomy,Canada
306,Royal Institute of Geoscience,Denmark
307,National Institute of Geochemistry,Denmark
308,University of Meteorite Studies,Norway
309,Global Research Center of Geoscience,Finland
310,Academy of Space Exploration,Austria
311,International Lab for Geoscience,Spain
312,International Lab for Space Exploration,Finland
313,University of Geoscience,China
314,Academy of Planetary Science,Germany
315,International Lab for Geoscience,France
316,Center for Advanced Meteorite Studies,Brazil
317,University of Astronomy,Spain
318,University of Cosmic Research,Italy
319,Royal Institute of Astrophysics,Canada
320,College of Geochemistry,Norway
321,Global Research Center of Meteorite Studies,Australia
322,National Institute of Astrophysics,Austria
323,College of Geology,Switzerland
324,Global Research Center of Planetary Science,Denmark
325,Academy of Geology,India
326,University of Geology,Brazil
327,Global Research Center of Geoscience,Denmark
328,Royal Institute of Cosmic Research,Norway
329,Academy of Geology,Brazil
330,College of Astrophysics,Finland
331,National Institute of Planetary Science,Sweden
332,Royal Institute of Cosmic Research,Brazil
333,University of Astrophysics,India
334,University of Astronomy,Austria
335,Center for Advanced Cosmic Research,China
336,Royal Institute of Planetary Science,Japan
337,Academy of Meteorite Studies,France
338,University of Cosmic Research,Denmark
339,University of Space Exploration,Canada
340,National Institute of Cosmic Research,Spain
341,International Lab for Meteorite Studies,Japan
342,Global Research Center of Geochemistry,Italy
343,Academy of Meteorite Studies,India
344,Center for Advanced Cosmic Research,Spain
345,National Institute of Geology,Germany
346,Global Research Center of Planetary Science,Sweden
347,Royal Institute of Geoscience,Sweden
348,University of Cosmic Research,Belgium
349,National Institute of Geology,Italy
350,Academy of Astrophysics,Italy
351,National Institute of Planetary Science,Finland
352,University of Geochemistry,Spain
353,College of Geoscience,Denmark
354,Academy of Astrophysics,France
355,Global Research Center of Astronomy,UK
356,Academy of Geology,France
357,National Institute of Planetary Science,Belgium
358,Global Research Center of Astrophysics,Denmark
359,Royal Institute of Geochemistry,Norway
360,Global Research Center of Astrophysics,France
361,Center for Advanced Astrophysics,India
362,University of Space Exploration,Japan
363,Center for Advanced Geology,China
364,Royal Institute of Geoscience,Italy
365,Royal Institute of Astronomy,Sweden
366,Academy of Planetary Science,France
367,Center for Advanced Geoscience,Japan
368,University of Astronomy,Spain
369,College of Meteorite Studies,Switzerland
370,College of Geoscience,Belgium
371,College of Planetary Science,China
372,Royal Institute of Meteorite Studies,Austria
373,University of Cosmic Research,Canada
374,Global Research Center of Geochemistry,India
375,Global Research Center of Geoscience,USA
376,Global Research Center of Astronomy,Italy
377,College of Space Exploration,USA
378,Global Research Center of Cosmic Research,UK
379,Global Research Center of Astrophysics,Netherlands
