class_id,class_name
1,L5
2,H6
4,H5
5,H3-6
6,EH4
7,L6
8,H
9,H4
10,Acapulcoite
11,L6
12,H5
13,H5
14,L6
15,H3.9/4
16,H3.9/4
17,L5
18,H5
19,L6
20,L6
21,H5
22,H6
23,H5
24,H5
25,L6
26,H4-5
27,L5
28,H5
29,L6
30,H5
31,H6
32,H3.7
33,H3.8
34,H5
35,H5
36,H5/6
37,H5
38,H3.8
39,H4
40,LL6
41,H5
42,L6
43,L6
44,L6
45,H6
46,L5/6
47,LL4-6
48,H5
49,L3.8
50,L5-6
51,L/LL6
52,H5
53,H4
54,L6
56,H5
57,L4
58,H4-5
59,H5
60,H6
61,L5
62,L5
63,H6
64,H5
65,H5
66,L4
67,LL5-6
68,CR2
69,H4
70,H4-5
71,H5
72,Mesosiderite
73,L5
74,H4-5
75,LL3.8-6
76,H5
77,L6
78,L6
79,H4/5
80,L6
81,L5/6
82,H5
83,L6
84,H5
85,H5
86,L6
87,H5
88,L6
89,L3.9
90,LL5-6
91,CV3
92,L6
93,H5
94,H5
95,CV3
96,CR2
97,L6
98,H5
99,H5
100,LL5-6
101,H5
102,L5
103,C2-ung
104,H3.7
105,L4-5
106,CR2
107,H5
108,H5
109,H6
110,L6
111,L3-5
112,H5
113,H4/5
114,L6
115,LL6
116,L6
117,H6
118,H4/5
119,L6
120,H3-6
121,LL4/5
122,LL6
123,CR2
124,H6
125,L6
126,H4
127,L6
128,H3.8
129,LL6
130,L5-6
131,L4/5
132,H3.9
133,LL5-6
134,L6
135,LL5-6
136,L6
137,L6
138,H3.7
139,H5
140,LL6
141,H6
142,L3-5
143,L5
144,H5
145,H5
146,H4/5
147,L5
148,CR2
149,L5
150,H5
151,L5
152,L6
153,L6
154,L6
155,H5
156,L6
157,H5
158,L/LL6
159,H5
160,H5
161,H5
162,H3.6-6
163,H5
164,L6
165,L6
166,L6
167,H4/5
168,H3.8
169,LL3.8-6
170,H5
171,H3-6
172,H3.8-5
173,H5
174,H5-6
175,H3-5
176,L5
177,L6
178,H3.8/4
179,H3.7
180,L6
181,H6
182,LL6
183,LL5-6
184,LL5-6
185,LL5-6
186,H3.7
187,L6
188,H3.9-5
189,L6
190,CH3
191,H5
192,H5
193,LL5
194,CR2
195,CR2
196,H3.9/4
197,H6
198,L6
199,L6
200,H3.9-5
201,LL4-6
202,H5
203,H6
204,H5
205,L6
206,H6
207,L4
208,H3-6
209,L5
210,CO3.5
211,H5
212,H3
213,H5
214,H5
215,CH3
216,LL5
217,CR2
218,H3.7
219,H3.9
220,H5
221,L6
222,CH3
223,L5
224,L6
225,R3.8-5
226,L6
227,H6
228,H5
229,H5/6
230,H5/6
231,L/LL6
232,H5/6
233,H3
234,H5
235,H6
236,L5
237,H5
238,H5
239,H4/5
240,H5
241,H5/6
242,"Iron, IAB-ung"
243,H5
244,LL6
245,H3
246,H4/5
247,H6
248,L6
249,L6
250,L6
252,H6
253,H5
254,L6
255,L4
256,L3.9/4
257,H5/6
258,H6
259,LL5-6
260,L6
261,LL5-6
262,L6
263,L6
264,H5/6
265,H6
266,H6
267,H3-6
268,H5
269,L6
270,H4
271,L6
272,LL6
273,Mesosiderite
274,L6
275,LL5-6
276,LL4-6
277,LL6
278,CR2
279,H6
280,CV3
281,H5/6
282,H6
283,H5-6
284,H5
285,Ureilite
286,H5
287,H5
288,L6
289,L5
290,H6
291,H5
292,H5
293,H4/5
294,H6
295,E4
296,L5
297,CR2
298,L6
299,H6
300,H5
301,LL6
302,H4
303,LL6
304,LL5-6
305,L6
306,L6
307,LL4
308,H6
309,H4
310,H5
311,H5/6
