meteorite_id,class_id,location_id,meteorite_name,mass,fall_type,fall_year
1,1,1,Aachen,21.0,Fell,1880
2,2,2,Aarhus,720.0,Fell,1951
4,4,4,Abajo,331.0,Found,1982
5,5,5,Abbott,21100.0,Found,1951
6,6,6,Abee,107000.0,Fell,1952
7,7,7,Abernathy,2914.0,Found,1941
8,8,8,Abo,1.2,Found,1840
9,9,9,Abu Moharek,4500.0,Found,1997
10,10,10,Acapulco,1914.0,Fell,1976
11,11,11,Acfer 001,6700.0,Found,1989
12,12,12,Acfer 002,228.0,Found,1989
13,13,13,Acfer 003,145.0,Found,1989
14,14,14,Acfer 004,1020.0,Found,1989
15,15,15,Acfer 005,115.0,Found,1989
16,16,16,Acfer 006,561.0,Found,1989
17,17,17,Acfer 007,542.0,Found,1989
18,18,18,Acfer 008,205.0,Found,1989
19,19,19,Acfer 009,127.0,Found,1989
20,20,20,Acfer 010,276.0,Found,1989
21,21,21,Acfer 011,3800.0,Found,1989
22,22,22,Acfer 012,98.0,Found,1989
23,23,23,Acfer 013,490.0,Found,1989
24,24,24,Acfer 014,307.0,Found,1989
25,25,25,Acfer 015,98.0,Found,1989
26,26,26,Acfer 016,111.0,Found,1989
27,27,27,Acfer 017,446.0,Found,1989
28,28,28,Acfer 018,207.0,Found,1989
29,29,29,Acfer 019,581.0,Found,1989
30,30,30,Acfer 020,708.0,Found,1989
31,31,31,Acfer 021,2140.0,Found,1989
32,32,32,Acfer 022,192.0,Found,1989
33,33,33,Acfer 023,118.0,Found,1989
34,34,34,Acfer 024,1464.0,Found,1989
35,35,35,Acfer 025,920.0,Found,1989
36,36,36,Acfer 026,88.0,Found,1989
37,37,37,Acfer 027,206.0,Found,1989
38,38,38,Acfer 028,3130.0,Found,1989
39,39,39,Acfer 029,98.0,Found,1989
40,40,40,Acfer 030,123.0,Found,1989
41,41,41,Acfer 031,2016.0,Found,1989
42,42,42,Acfer 032,495.0,Found,1989
43,43,43,Acfer 033,93.0,Found,1989
44,44,44,Acfer 034,184.0,Found,1989
45,45,45,Acfer 035,36.0,Found,1989
46,46,46,Acfer 036,112.0,Found,1989
47,47,47,Acfer 037,385.0,Found,1989
48,48,48,Acfer 038,962.0,Found,1989
49,49,49,Acfer 039,225.0,Found,1989
50,50,50,Acfer 040,146.0,Found,1989
51,51,51,Acfer 041,134.0,Found,1989
52,52,52,Acfer 042,246.0,Found,1989
53,53,53,Acfer 043,120.0,Found,1989
54,54,54,Acfer 044,195.0,Found,1989
56,56,56,Acfer 046,1066.0,Found,1989
57,57,57,Acfer 047,1440.0,Found,1989
58,58,58,Acfer 048,115.0,Found,1989
59,59,59,Acfer 049,82.9,Found,1989
60,60,60,Acfer 050,1394.0,Found,1989
61,61,61,Acfer 051,905.0,Found,1989
62,62,62,Acfer 052,58.0,Found,1989
63,63,63,Acfer 053,1937.0,Found,1989
64,64,64,Acfer 054,2051.0,Found,1989
65,65,65,Acfer 055,1338.0,Found,1989
66,66,66,Acfer 056,129.0,Found,1989
67,67,67,Acfer 058,277.0,Found,1989
68,68,68,Acfer 059,281.0,Found,1989
69,69,69,Acfer 060,226.0,Found,1989
70,70,70,Acfer 061,105.0,Found,1989
71,71,71,Acfer 062,283.0,Found,1989
72,72,72,Acfer 063,716.0,Found,1989
73,73,73,Acfer 064,854.0,Found,1989
74,74,74,Acfer 065,1539.0,Found,1989
75,75,75,Acfer 066,517.0,Found,1990
76,76,76,Acfer 067,383.0,Found,1990
77,77,77,Acfer 068,1805.0,Found,1990
78,78,78,Acfer 069,941.0,Found,1990
79,79,79,Acfer 070,138.0,Found,1990
80,80,80,Acfer 071,1379.0,Found,1990
81,81,81,Acfer 072,162.0,Found,1990
82,82,82,Acfer 073,2010.0,Found,1990
83,83,83,Acfer 074,384.0,Found,1990
84,84,84,Acfer 075,1453.0,Found,1990
85,85,85,Acfer 076,183.0,Found,1990
86,86,86,Acfer 077,2538.0,Found,1990
87,87,87,Acfer 078,105.0,Found,1990
88,88,88,Acfer 079,387.0,Found,1990
89,89,89,Acfer 080,574.0,Found,1990
90,90,90,Acfer 081,110.0,Found,1990
