paper_id,scientist_id,title,journal_name,publication_date
1,899,New Insights into Meteorite #27953,Astroinformatics Journal,2025-12-19
2,18876,New Insights into Meteorite #44901,Astronomy Research Journal,2022-11-30
3,23572,New Insights into Meteorite #49437,Intergalactic Studies,2012-04-12
4,26667,New Insights into Meteorite #41695,Cosmology and Space Science,2018-08-18
5,30643,New Insights into Meteorite #38554,Journal of Modern Astronomy,2020-09-26
6,37518,New Insights into Meteorite #31227,Journal of Space Exploration and Research,2023-08-26
7,33175,New Insights into Meteorite #13783,"Space, Stars, and Galaxies",2008-03-08
8,36026,New Insights into Meteorite #28153,Journal of Extragalactic Astronomy,2025-05-13
9,17032,New Insights into Meteorite #23026,Interplanetary Science,2023-11-15
10,26434,New Insights into Meteorite #34743,Planetary and Space Science,2008-09-27
11,19615,New Insights into Meteorite #25163,International Journal of Astrophysics,2012-02-22
12,6109,New Insights into Meteorite #42852,Cosmic Research Journal,2000-02-16
13,24616,New Insights into Meteorite #43740,Advances in Planetary Science,2017-11-07
14,28217,New Insights into Meteorite #8194,Space Exploration Today,2015-07-20
15,18906,New Insights into Meteorite #4597,Space Exploration Today,2007-05-26
16,27476,New Insights into Meteorite #1971,Journal of Modern Astronomy,2017-07-22
17,457,New Insights into Meteorite #42262,Journal of Modern Astronomy,2024-01-06
18,16889,New Insights into Meteorite #39845,Journal of Celestial Phenomena,2002-01-11
19,29695,New Insights into Meteorite #21463,Cosmochemistry and Planetary Materials,2019-03-17
20,16686,New Insights into Meteorite #29337,Journal of Interstellar Studies,2003-10-09
21,30215,New Insights into Meteorite #13894,Space Science Reviews,2020-04-28
22,368,New Insights into Meteorite #37361,Nature,2023-11-02
23,31159,New Insights into Meteorite #42652,Galactic Astronomy,2020-01-17
24,33207,New Insights into Meteorite #15631,Journal of Astrophysical Phenomena,2007-11-01
25,33935,New Insights into Meteorite #18922,Interplanetary Science,2010-05-30
26,7294,New Insights into Meteorite #42072,Astrophysical Research Letters,2013-10-06
27,21242,New Insights into Meteorite #39798,Journal of Space Engineering,2022-03-01
28,12849,New Insights into Meteorite #16741,Journal of Deep Space Research,2006-10-24
29,32913,New Insights into Meteorite #11516,Journal of Cosmological Studies,2018-09-29
30,35525,New Insights into Meteorite #28061,Journal of Cosmic Origins,2013-11-29
31,10157,New Insights into Meteorite #18766,Journal of Exoplanet Studies,2014-06-30
32,4603,New Insights into Meteorite #396,Journal of Planetary Research,2015-08-12
33,25267,New Insights into Meteorite #27224,Space and Universe Journal,2010-11-03
34,1918,New Insights into Meteorite #39162,Journal of Space and Time,2024-07-08
35,13068,New Insights into Meteorite #12719,Science,2018-11-29
36,23092,New Insights into Meteorite #22928,Astronomy Research Journal,2000-06-01
37,16629,New Insights into Meteorite #8966,Journal of Stellar Dynamics,2011-02-19
38,24259,New Insights into Meteorite #25718,Journal of Space and Astronomy,2007-10-12
39,33939,New Insights into Meteorite #48753,Journal of Celestial Mechanics,2009-08-10
40,35631,New Insights into Meteorite #20962,Journal of Deep Space Research,2002-04-28
41,20855,New Insights into Meteorite #1349,Journal of Cosmic Evolution,2016-04-07
42,11978,New Insights into Meteorite #28217,Journal of Interstellar Studies,2001-09-26
43,22348,New Insights into Meteorite #17705,Journal of Cosmic Investigations,2008-06-12
44,22723,New Insights into Meteorite #42233,Journal of Cosmic Origins,2003-09-18
45,16493,New Insights into Meteorite #37906,Space Exploration and Technology,2008-11-20
46,8177,New Insights into Meteorite #18578,Science,2005-04-15
47,8886,New Insights into Meteorite #31062,Journal of Interplanetary Research,2025-03-14
48,34386,New Insights into Meteorite #18557,Interstellar Astronomy,2021-02-23
49,27843,New Insights into Meteorite #18666,Advances in Interstellar Studies,2007-06-06
50,33537,New Insights into Meteorite #37711,Journal of Cosmic Energy,2000-09-23
51,34622,New Insights into Meteorite #24148,Space and Time Journal,2025-02-05
52,17218,New Insights into Meteorite #37187,Astrophysical Journal,2007-08-29
53,4596,New Insights into Meteorite #7291,Advances in Cosmic Studies,2008-09-13
54,2023,New Insights into Meteorite #49983,Advances in Space Research,2012-01-15
55,24471,New Insights into Meteorite #11035,International Journal of Astronomy,2021-05-05
56,26697,New Insights into Meteorite #30095,Journal of Astronomical Instrumentation,2019-01-04
57,15961,New Insights into Meteorite #42843,Solar Physics Journal,2000-02-25
58,18664,New Insights into Meteorite #23460,Solar Physics Journal,2025-03-23
59,11848,New Insights into Meteorite #511,Journal of Astrophysical Phenomena,2007-04-10
60,30313,New Insights into Meteorite #10695,Cosmic Horizons Journal,2021-05-16
61,18505,New Insights into Meteorite #5952,Journal of Interstellar Studies,2013-05-09
62,2515,New Insights into Meteorite #32336,Journal of Celestial Observations,2001-02-28
63,19468,New Insights into Meteorite #15662,Journal of Cosmic Phenomena,2021-11-20
64,17560,New Insights into Meteorite #33454,Cosmic Horizons Review,2014-09-18
65,13921,New Insights into Meteorite #31090,Space and Time Journal,2016-03-03
66,7831,New Insights into Meteorite #29897,Astrophysics Reports,2003-07-26
67,33142,New Insights into Meteorite #4433,Journal of Cosmic Chemistry,2000-02-17
68,11921,New Insights into Meteorite #15276,Cosmic Research Journal,2019-11-29
69,20597,New Insights into Meteorite #21107,Interplanetary Science,2019-12-01
70,20165,New Insights into Meteorite #29724,Journal of Extragalactic Research,2008-01-12
71,20265,New Insights into Meteorite #28344,Space Weather and Climate,2018-03-09
72,19739,New Insights into Meteorite #43905,Journal of Space Physics,2020-06-20
73,25419,New Insights into Meteorite #20443,Journal of Solar Research,2011-03-19
74,1656,New Insights into Meteorite #29572,Journal of Planetary Systems,2013-10-05
75,24587,New Insights into Meteorite #30871,Journal of Cosmic Chemistry,2020-01-01
76,22156,New Insights into Meteorite #13431,Journal of Astrophysics,2015-08-25
77,16621,New Insights into Meteorite #2136,Interplanetary Science,2020-05-20
78,12455,New Insights into Meteorite #9536,Planetary and Space Science,2021-05-28
79,17068,New Insights into Meteorite #34130,Journal of Universe Studies,2015-12-04
80,6740,New Insights into Meteorite #27739,Advances in Astronomy,2001-05-15
81,31273,New Insights into Meteorite #20282,Journal of Planetary Atmospheres,2012-08-20
82,5116,New Insights into Meteorite #23779,Space Science Reviews,2015-02-07
83,20057,New Insights into Meteorite #41853,Journal of Interplanetary Research,2011-11-08
84,1217,New Insights into Meteorite #1977,International Journal of Astronomy,2006-02-04
85,16910,New Insights into Meteorite #21649,Cosmic Evolution Review,2001-06-26
86,7850,New Insights into Meteorite #44888,Intergalactic Studies,2025-10-30
87,30684,New Insights into Meteorite #22942,Astrogeology Journal,2020-07-14
88,33569,New Insights into Meteorite #15027,Astrophysical Methods,2011-09-02
89,29673,New Insights into Meteorite #13196,Cosmic Horizons Journal,2011-02-28
90,34670,New Insights into Meteorite #36629,Journal of Modern Astronomy,2025-07-06
91,32230,New Insights into Meteorite #44551,Cosmochemistry and Planetary Materials,2008-04-08
92,32231,New Insights into Meteorite #4726,Astrophysics and Space Science,2015-11-27
93,26421,New Insights into Meteorite #1189,Journal of Astrostatistics,2010-03-08
94,16635,New Insights into Meteorite #43772,Space Science and Exploration,2016-06-03
95,788,New Insights into Meteorite #17359,Journal of Astrostatistics,2010-08-13
96,32160,New Insights into Meteorite #35051,Journal of Celestial Mechanics,2018-01-22
97,35434,New Insights into Meteorite #39344,Astronomy and Astrophysics,2015-06-29
98,26992,New Insights into Meteorite #36293,Journal of Celestial Mechanics,2018-12-07
99,23690,New Insights into Meteorite #20171,Journal of Planetary Atmospheres,2016-11-28
100,14571,New Insights into Meteorite #33832,Astroinformatics Journal,2008-09-28
101,10642,New Insights into Meteorite #12340,Cosmochemistry and Planetary Materials,2000-01-11
102,35057,New Insights into Meteorite #13626,Journal of Stellar Dynamics,2009-08-07
103,36120,New Insights into Meteorite #709,Advances in Planetary Science,2016-04-22
104,945,New Insights into Meteorite #35957,International Journal of Astrophysics,2022-02-16
105,22629,New Insights into Meteorite #2441,International Journal of Astrophysics,2025-08-06
106,12246,New Insights into Meteorite #14951,Space Exploration and Technology,2012-02-08
107,8026,New Insights into Meteorite #4439,Journal of Space Engineering,2000-05-09
108,34969,New Insights into Meteorite #30177,Journal of Space Exploration,2014-12-17
