study_id,meteorite_id,scientist_id,study_date
1,14290,15519,2025-10-08
2,53592,33660,2019-06-14
3,24241,34891,2012-08-25
4,3580,36047,2018-02-07
5,20265,4053,2005-10-10
6,3597,30076,2012-09-28
7,16857,6119,2011-04-05
8,8042,27624,2015-08-28
9,46695,8126,2016-05-15
10,18189,9384,2008-02-15
11,27959,6140,2022-06-03
12,14124,7280,2008-12-13
13,29414,8537,2021-06-18
14,18990,37048,2018-05-10
15,26199,16986,2007-10-06
16,11717,35497,2023-03-22
17,20934,2648,2022-06-01
18,581,33608,2018-08-01
19,8139,20396,2004-11-28
20,40428,26117,2003-01-03
21,49745,33727,2001-06-04
22,46999,36496,2009-02-02
23,28453,26790,2002-04-30
24,22339,2441,2024-12-27
25,16429,29333,2011-02-14
26,5874,37539,2010-04-01
27,22304,30399,2013-10-05
28,8881,15266,2021-09-30
29,26799,33298,2025-02-16
30,48064,20322,2015-10-26
31,27330,30408,2019-04-24
32,51586,6600,2003-09-07
33,51821,25950,2002-03-18
34,51604,33578,2005-03-13
35,26613,35901,2017-05-24
36,18749,28079,2008-08-22
37,704,112,2023-03-06
38,55559,7700,2024-10-10
39,50565,218,2008-02-27
40,10793,2753,2025-12-04
41,5749,31424,2025-08-11
42,11726,26145,2022-05-12
43,16269,29054,2025-04-18
44,11073,552,2024-10-06
45,53790,5815,2009-01-07
46,24740,21289,2022-05-17
47,20423,15934,2023-12-17
48,50817,36068,2013-12-04
49,28717,3620,2006-12-01
50,21440,25790,2011-06-19
51,38179,10488,2009-07-07
52,21926,2792,2016-03-23
53,26236,14811,2022-07-14
54,11197,2486,2007-02-10
55,28658,28390,2021-08-20
56,21044,30839,2014-05-28
57,53199,21133,2020-06-17
58,11472,35031,2002-11-05
59,1312,26018,2012-10-12
60,612,14039,2006-05-13
61,8336,7816,2002-07-29
62,2345,12747,2005-09-20
63,30040,23881,2013-10-22
64,35686,37261,2019-11-17
65,50475,15600,2017-03-08
66,52126,37864,2015-09-30
67,50989,33485,2018-08-02
68,48130,28653,2015-04-08
69,10579,13679,2009-01-08
70,23621,6105,2007-09-26
71,16635,13243,2016-08-15
72,29083,31770,2011-10-04
73,20742,37531,2009-06-29
74,19609,10320,2002-04-25
75,45010,32495,2004-03-02
76,56375,27404,2003-02-02
77,24974,34094,2015-11-15
78,7007,6298,2008-07-09
79,10780,22629,2013-12-20
80,6951,3818,2016-07-08
81,23488,6660,2009-11-16
82,28475,2840,2024-12-01
83,9671,4090,2017-08-03
84,14576,31321,2006-12-07
85,16608,14535,2012-10-22
86,14945,8836,2013-08-19
87,48987,32992,2010-11-30
88,28003,32382,2000-04-23
89,46541,23024,2018-07-21
90,13067,17413,2008-02-06
91,10572,23261,2023-08-05
92,6107,27252,2008-03-03
93,9156,33693,2006-08-25
94,15523,10565,2021-06-25
95,6163,2280,2003-11-04
96,51090,33635,2019-08-01
97,3857,15518,2008-07-07
98,18061,3393,2024-03-29
99,20788,17100,2014-12-07
100,27314,10330,2008-03-16
101,14207,16322,2005-07-04
102,8527,27534,2001-03-11
103,53374,5113,2015-06-08
104,24267,37429,2019-09-10
105,20564,17,2023-12-30
106,12745,31044,2024-08-22
107,27345,9852,2002-06-27
108,12233,25772,2025-02-17
109,52427,22130,2006-09-01
110,9982,5441,2001-06-16
111,40665,24667,2018-03-10
112,18844,13411,2020-12-26
113,365,11674,2025-01-28
114,28691,2628,2019-09-07
115,18130,16969,2019-06-30
116,3884,13051,2025-04-09
117,10436,31009,2014-09-23
118,51266,14329,2002-04-09
119,738,28856,2015-11-17
120,3891,37175,2017-02-26
121,10589,1737,2000-07-26
122,20670,35684,2010-10-02
123,2528,19926,2022-03-11
124,6496,29176,2002-08-13
125,1282,36440,2007-01-05
126,50540,22230,2016-03-31
127,18206,4241,2023-05-16
128,51645,3733,2011-09-20
129,55316,25997,2002-07-24
130,47753,32213,2023-06-23
131,49870,4563,2011-11-14
132,179,36825,2014-09-25
133,49630,2475,2002-04-09
134,26453,27498,2019-08-20
135,944,7027,2007-05-18
136,11745,34820,2006-11-11
137,56050,27556,2020-04-19
138,14552,3858,2005-12-14
139,26123,7080,2022-10-18
140,28776,10877,2016-03-25
141,18096,18639,2009-09-17
142,13915,23919,2008-11-12
143,23665,17774,2007-07-05
144,14011,2752,2019-02-28
145,923,9873,2001-08-30
146,12145,5271,2005-08-01
147,9092,19033,2000-05-31
148,21385,14226,2005-04-11
149,25901,7082,2001-07-14
150,55468,590,2020-07-24
151,54858,25588,2012-05-18
152,26583,2432,2003-01-13
153,885,22791,2025-03-26
154,55554,30303,2023-07-20
155,40562,3523,2025-08-13
156,24200,18374,2007-01-31
157,12064,2068,2001-11-16
158,2575,22941,2014-03-25
159,8875,1557,2009-03-24
160,11730,26607,2022-02-28
161,11749,34062,2017-04-15
162,15332,3039,2018-02-19
163,49143,1188,2017-10-18
164,21492,19438,2020-04-10
165,13497,29967,2014-01-01
166,48495,10541,2024-06-04
167,8149,33047,2003-06-30
168,25310,21896,2009-06-01
169,54588,32422,2021-07-13
170,10133,14818,2001-08-27
171,29092,37101,2004-09-29
172,28587,14843,2013-06-02
173,20713,6766,2025-12-06
174,3885,27158,2023-03-28
175,14262,6159,2024-11-19
176,26884,36741,2007-01-22
177,54680,4828,2021-07-28
178,10403,29557,2017-05-03
179,13373,32263,2018-09-22
180,30623,18328,2020-01-02
181,28288,13094,2021-09-05
182,3782,20669,2024-03-18
183,11305,2765,2015-09-05
184,29181,23673,2006-06-25
185,20585,37943,2025-11-01
186,23209,37688,2019-01-02
187,18689,31399,2008-03-31
188,30603,3342,2002-11-02
189,18606,20061,2000-12-20
190,9615,4687,2022-03-31
191,13279,26622,2009-03-04
192,9113,29631,2018-11-11
193,5078,36092,2002-04-07
194,28392,30067,2007-06-06
195,15270,28930,2016-08-05
196,55621,23872,2011-10-24
197,49447,32221,2000-08-08
198,26389,8375,2001-08-21
199,16760,1929,2019-08-29
200,8041,35916,2018-12-24
201,3713,13090,2013-09-10
202,26503,25740,2018-05-24
203,5750,27454,2022-10-04
204,29333,28122,2025-12-18
205,8412,28240,2019-06-19
206,19565,28226,2004-02-13
207,25000,1290,2021-07-20
208,26711,37764,2011-10-19
209,23230,8434,2001-01-15
210,40674,22214,2004-03-12
211,21912,13225,2024-02-20
212,18878,8706,2001-04-14
213,52015,13628,2008-07-07
214,490,13304,2013-10-01
215,18517,664,2022-01-06
216,48354,29621,2024-03-01
217,57064,17684,2004-07-05
218,5925,3366,2021-04-04
219,30386,20886,2011-02-17
220,54003,13089,2020-03-19
221,10656,12758,2008-04-03
222,14559,29025,2008-11-07
223,18749,22279,2004-03-12
224,16232,13774,2025-10-14
225,54306,21082,2006-09-14
226,15984,4389,2020-02-01
227,56831,1260,2000-05-31
228,17979,32214,2023-08-04
229,1522,35890,2025-10-21
230,3870,17394,2015-01-14
231,48145,34581,2008-12-11
232,21378,34017,2019-02-08
233,48476,31753,2003-04-09
234,2117,21566,2023-02-10
235,24938,6780,2013-02-21
236,8731,5959,2013-01-20
237,24600,27284,2005-10-05
238,23429,22471,2006-12-13
239,8284,3196,2005-09-18
240,51152,15979,2011-12-03
241,48004,33710,2022-03-03
242,9703,13389,2022-09-25
243,26955,25216,2007-08-14
244,19586,17707,2016-02-13
245,3318,36712,2001-04-12
246,16606,15156,2001-01-22
247,1625,19459,2008-09-16
248,54256,34158,2005-06-03
249,55984,17026,2014-11-02
250,15301,36754,2023-04-19
251,8916,16509,2024-11-09
252,14608,6956,2005-02-24
253,21806,8808,2021-05-12
254,1703,13058,2018-08-04
255,26585,3154,2012-05-02
256,20105,354,2000-10-18
257,13739,25326,2001-01-31
258,917,8207,2009-10-15
259,40545,17731,2014-03-24
260,50159,35934,2019-07-30
261,19702,18665,2021-01-22
262,7101,31322,2020-11-16
263,16574,26825,2004-04-17
264,48374,21483,2015-09-21
265,30014,13032,2007-03-17
266,230,10378,2021-06-20
267,29022,33880,2020-04-21
268,14978,30554,2012-09-11
269,28600,20474,2009-09-14
270,14397,35840,2016-12-23
271,6307,17242,2005-12-16
272,51837,23593,2011-02-25
273,28093,33581,2005-06-17
274,4576,33610,2005-07-04
275,51061,18202,2005-09-08
276,21216,4820,2015-01-13
277,26980,3983,2017-10-21
278,50656,24742,2001-09-28
279,5667,20514,2006-06-13
280,24664,18864,2003-06-30
281,13825,15423,2008-12-11
282,13753,23691,2023-02-11
283,7833,2239,2012-11-04
284,28580,27128,2020-03-27
285,46591,25972,2017-03-06
286,57196,29959,2004-11-07
287,2249,29250,2023-08-31
288,24867,10585,2025-04-27
289,12816,27234,2009-06-28
290,15422,24408,2003-12-14
291,9592,17442,2001-05-08
292,1084,9200,2020-01-29
293,572,17497,2007-09-27
294,51303,1975,2006-10-24
295,35673,28922,2005-05-06
296,1776,11799,2018-11-18
297,53796,21077,2010-05-01
298,10958,26569,2003-01-16
299,17009,31731,2002-01-09
300,12277,31951,2005-04-30
301,7399,30057,2024-07-10
302,2015,17084,2000-06-05
303,3393,2968,2009-07-16
304,21004,20188,2014-11-10
305,52986,34610,2000-12-03
306,16655,10081,2003-09-13
307,54166,30323,2016-11-16
308,20012,6198,2016-08-27
309,19787,18252,2004-10-27
310,56245,1636,2011-11-01
311,24620,30892,2010-07-16
312,8481,36168,2020-06-08
313,27110,15648,2019-01-31
314,20394,4999,2014-11-22
315,22404,27910,2012-12-08
316,49581,4828,2006-08-09
317,13674,32800,2001-04-05
318,50673,29969,2001-07-27
319,11772,25337,2010-09-04
320,598,8700,2001-06-11
321,26195,4171,2021-07-03
322,27250,8044,2022-11-12
323,39897,20832,2010-04-12
324,49806,6200,2023-05-28
325,39028,10293,2005-08-25
326,53359,11869,2007-02-24
327,20479,29540,2002-04-07
328,12554,488,2016-01-01
329,47856,24455,2002-07-21
330,15991,14529,2014-08-27
331,24087,26730,2018-05-15
332,22544,24275,2007-07-25
333,30453,32312,2001-04-14
334,21450,15689,2018-12-21
335,37897,32835,2015-09-27
336,15763,22508,2013-08-11
337,23300,24503,2004-01-16
338,3518,17621,2023-07-18
339,8224,27996,2023-08-05
340,15719,11453,2018-07-21
341,11472,31551,2005-02-22
342,7068,11434,2020-11-12
343,15983,21425,2001-08-20
344,458,27414,2010-01-18
345,973,24614,2003-10-12
346,13393,29797,2020-09-29
347,45628,4001,2005-09-03
348,44712,19571,2010-10-17
349,13678,29555,2024-06-13
350,40242,834,2004-02-18
351,29758,14630,2009-12-24
352,21465,14337,2002-06-24
353,50636,13745,2004-04-23
354,4401,6693,2007-04-13
355,34064,9997,2001-05-20
356,38278,5130,2008-12-09
357,8584,36181,2019-07-07
358,50360,15762,2020-11-14
359,40540,13160,2025-06-02
360,28468,4372,2013-09-12
361,14139,11390,2018-06-21
362,20543,35737,2006-12-18
363,6233,8766,2009-01-15
364,48624,7250,2006-12-31
365,5603,13202,2013-05-30
366,56983,467,2023-09-23
367,11290,18260,2015-08-23
368,20494,9162,2003-09-14
369,15697,31586,2011-04-09
370,4980,32721,2012-06-28
371,23221,13691,2020-11-22
372,39351,34399,2015-03-26
373,7225,11706,2002-03-30
374,54106,37121,2024-04-10
375,25993,2288,2024-04-06
376,20120,23154,2016-02-21
377,53291,4262,2021-11-14
378,50594,20936,2006-03-16
379,6699,4083,2022-05-06
380,24804,15013,2013-04-22
381,52656,267,2024-04-10
382,52272,1599,2006-10-19
383,20908,18554,2019-07-02
384,29430,24745,2022-06-07
385,13310,17408,2018-05-06
386,47757,27432,2001-04-16
387,45857,1547,2003-09-01
388,55883,3470,2006-12-21
389,55905,24872,2016-02-18
390,50465,6989,2003-02-11
391,48610,18354,2000-01-12
392,5245,36505,2003-06-08
393,39283,19346,2009-03-25
