"class_name","count_by_class","avg_mass"
"L6","7573","1505.59"
"H5","6264","2323.89"
"H6","3899","948.03"
"H4","3891","999.77"
"L5","3285","2438.54"
"LL5","2199","487.63"
"LL6","1661","776.40"
"L4","941","1898.62"
"H4/5","395","1713.90"
"CM2","330","457.57"
"H3","314","928.24"
"CO3","308","525.74"
"Iron, IIIAB","270","511468.00"
"L3","268","453.05"
"LL","223","102.69"
"Ureilite","214","518.34"
"E3","205","1.37"
"LL4","198","1037.47"
"CV3","184","12099.71"
"Howardite","179","745.72"
"Diogenite","178","896.02"
"Eucrite-pmict","169","444.86"
"H5/6","166","816.88"
"CR2","116","191.60"
"Eucrite","115","272.20"
"Iron, IIAB","111","339855.40"
"Mesosiderite","107","3307.83"
"H~5","106","848.65"
"Iron, ungrouped","105","453585.42"
"LL3","88","368.86"
"L~6","85","597.02"
"Eucrite-mmict","84","7618.63"
"L3.5","84","562.80"
"Iron, IAB-MG","79","1359145.66"
"L5/6","78","2850.98"
"CK5","75","69.22"
"Iron","71","34556.11"
"H3.7","70","3859.29"
"H","69","1269.61"
"OC","69","1057.12"
"EH3","67","156.74"
"Iron, IVA","63","492179.65"
"Eucrite-br","63","195.54"
"Lunar (anorth)","62","138.25"
"Martian (shergottite)","58","1349.75"
"H5-6","58","3104.79"
"H4-6","57","1863.51"
"EL6","56","2446.37"
"H3.8","56","1475.58"
"CK4","54","1447.44"
"LL-melt breccia","54","44.51"
"Aubrite","53","79589.27"
"L3.4","50","270.82"
